"Engineering Mathematics I","Chemistry","Communication Techniques","Programming in C","Basic Electrical Engineering","Mechanical Workshop","Engineering
Mathematics II",Physics,"Engineering
Drawing","Object Oriented
Programming in C++","Applied
Mechanics I","Thermal 
Science","Engineering 
Mathematics III","Data Structure 
and Algorithms","Electrical
Engineering ",Network Theory,"Electronics
Devices and ",Logic Circuits,"Engineering 
Mathematics IV",Instrumentation,"Database Management 
Systems","Programming
Technology",Microprocessors,Project I,"Numerical
Methods","Probability and 
Statistics","Operating
Systems","Computer 
Architecture","Computer 
Graphics","Theory of
Computation",Simulation and Modeling,Data Communication,Object Oriented Software,Embedded Systems,Project II,Elective I,"Artificial
Intelligence","Engineering
Economics",Computer Network,"Image Processing and
Pattern Recognition","ICT Project 
Management",Elective II,"Digital Signal 
Analysis
Processing","Social and
Professional 
Issues in IT","Organization and
Management","Information
System",Project III,Elective III
1.552447552,3.482517483,2.80979021,2.844755245,3.844755245,4,2.855244755,0,1.302797203,1.785314685,0,2.98951049,2.372727273,2.965034965,1.397202797,1.447552448,0,3.637762238,1.397202797,3.3,3.844755245,3.217482517,2.855244755,4,3.637762238,1.397202797,2.855244755,3.217482517,2.855244755,3.01048951,2.844755245,2.672727273,3.493006993,1.302797203,3.844755245,3.855244755,3.01048951,0,3.01048951,1.552447552,2.7,3.034965035,0,2.7,3.362237762,1.302797203,3.7,3.506993007
1.555444555,3.481518482,2.807492507,2.844455544,3.844455544,4,2.855544456,0,1.3000999,1.781618382,0,2.988911089,2.374025974,2.963036963,1.3999001,1.444555445,0,3.637062937,1.3999001,3.3,3.844455544,3.218481518,2.855544456,4,3.637062937,1.3999001,2.855544456,3.218481518,2.855544456,3.011088911,2.844455544,2.674025974,3.492607393,1.3000999,3.844455544,3.855544456,3.011088911,0,3.011088911,1.555444555,2.7,3.036963037,0,2.7,3.362937063,1.3000999,3.7,3.507392607
1.558441558,3.480519481,2.805194805,2.844155844,3.844155844,4,2.855844156,0,1.297402597,1.777922078,0,2.988311688,2.375324675,2.961038961,1.402597403,1.441558442,0,3.636363636,1.402597403,3.3,3.844155844,3.219480519,2.855844156,4,3.636363636,1.402597403,2.855844156,3.219480519,2.855844156,3.011688312,2.844155844,2.675324675,3.492207792,1.297402597,3.844155844,3.855844156,3.011688312,0,3.011688312,1.558441558,2.7,3.038961039,0,2.7,3.363636364,1.297402597,3.7,3.507792208
1.561438561,3.47952048,2.802897103,2.843856144,3.843856144,4,2.856143856,0,1.294705295,1.774225774,0,2.987712288,2.376623377,2.959040959,1.405294705,1.438561439,0,3.635664336,1.405294705,3.3,3.843856144,3.22047952,2.856143856,4,3.635664336,1.405294705,2.856143856,3.22047952,2.856143856,3.012287712,2.843856144,2.676623377,3.491808192,1.294705295,3.843856144,3.856143856,3.012287712,0,3.012287712,1.561438561,2.7,3.040959041,0,2.7,3.364335664,1.294705295,3.7,3.508191808
1.564435564,3.478521479,2.800599401,2.843556444,3.843556444,4,2.856443556,0,1.292007992,1.770529471,0,2.987112887,2.377922078,2.957042957,1.407992008,1.435564436,0,3.634965035,1.407992008,3.3,3.843556444,3.221478521,2.856443556,4,3.634965035,1.407992008,2.856443556,3.221478521,2.856443556,3.012887113,2.843556444,2.677922078,3.491408591,1.292007992,3.843556444,3.856443556,3.012887113,0,3.012887113,1.564435564,2.7,3.042957043,0,2.7,3.365034965,1.292007992,3.7,3.508591409
1.567432567,3.477522478,2.798301698,2.843256743,3.843256743,4,2.856743257,0,1.289310689,1.766833167,0,2.986513487,2.379220779,2.955044955,1.410689311,1.432567433,0,3.634265734,1.410689311,3.3,3.843256743,3.222477522,2.856743257,4,3.634265734,1.410689311,2.856743257,3.222477522,2.856743257,3.013486513,2.843256743,2.679220779,3.491008991,1.289310689,3.843256743,3.856743257,3.013486513,0,3.013486513,1.567432567,2.7,3.044955045,0,2.7,3.365734266,1.289310689,3.7,3.508991009
1.57042957,3.476523477,2.796003996,2.842957043,3.842957043,4,2.857042957,0,1.286613387,1.763136863,0,2.985914086,2.380519481,2.953046953,1.413386613,1.42957043,0,3.633566434,1.413386613,3.3,3.842957043,3.223476523,2.857042957,4,3.633566434,1.413386613,2.857042957,3.223476523,2.857042957,3.014085914,2.842957043,2.680519481,3.490609391,1.286613387,3.842957043,3.857042957,3.014085914,0,3.014085914,1.57042957,2.7,3.046953047,0,2.7,3.366433566,1.286613387,3.7,3.509390609
1.573426573,3.475524476,2.793706294,2.842657343,3.842657343,4,2.857342657,0,1.283916084,1.759440559,0,2.985314685,2.381818182,2.951048951,1.416083916,1.426573427,0,3.632867133,1.416083916,3.3,3.842657343,3.224475524,2.857342657,4,3.632867133,1.416083916,2.857342657,3.224475524,2.857342657,3.014685315,2.842657343,2.681818182,3.49020979,1.283916084,3.842657343,3.857342657,3.014685315,0,3.014685315,1.573426573,2.7,3.048951049,0,2.7,3.367132867,1.283916084,3.7,3.50979021
1.576423576,3.474525475,2.791408591,2.842357642,3.842357642,4,2.857642358,0,1.281218781,1.755744256,0,2.984715285,2.383116883,2.949050949,1.418781219,1.423576424,0,3.632167832,1.418781219,3.3,3.842357642,3.225474525,2.857642358,4,3.632167832,1.418781219,2.857642358,3.225474525,2.857642358,3.015284715,2.842357642,2.683116883,3.48981019,1.281218781,3.842357642,3.857642358,3.015284715,0,3.015284715,1.576423576,2.7,3.050949051,0,2.7,3.367832168,1.281218781,3.7,3.51018981
1.579420579,3.473526474,2.789110889,2.842057942,3.842057942,4,2.857942058,0,1.278521479,1.752047952,0,2.984115884,2.384415584,2.947052947,1.421478521,1.420579421,0,3.631468531,1.421478521,3.3,3.842057942,3.226473526,2.857942058,4,3.631468531,1.421478521,2.857942058,3.226473526,2.857942058,3.015884116,2.842057942,2.684415584,3.489410589,1.278521479,3.842057942,3.857942058,3.015884116,0,3.015884116,1.579420579,2.7,3.052947053,0,2.7,3.368531469,1.278521479,3.7,3.510589411
1.582417582,3.472527473,2.786813187,2.841758242,3.841758242,4,2.858241758,0,1.275824176,1.748351648,0,2.983516484,2.385714286,2.945054945,1.424175824,1.417582418,0,3.630769231,1.424175824,3.3,3.841758242,3.227472527,2.858241758,4,3.630769231,1.424175824,2.858241758,3.227472527,2.858241758,3.016483516,2.841758242,2.685714286,3.489010989,1.275824176,3.841758242,3.858241758,3.016483516,0,3.016483516,1.582417582,2.7,3.054945055,0,2.7,3.369230769,1.275824176,3.7,3.510989011
1.585414585,3.471528472,2.784515485,2.841458541,3.841458541,4,2.858541459,0,1.273126873,1.744655345,0,2.982917083,2.387012987,2.943056943,1.426873127,1.414585415,0,3.63006993,1.426873127,3.3,3.841458541,3.228471528,2.858541459,4,3.63006993,1.426873127,2.858541459,3.228471528,2.858541459,3.017082917,2.841458541,2.687012987,3.488611389,1.273126873,3.841458541,3.858541459,3.017082917,0,3.017082917,1.585414585,2.7,3.056943057,0,2.7,3.36993007,1.273126873,3.7,3.511388611
1.588411588,3.470529471,2.782217782,2.841158841,3.841158841,4,2.858841159,0,1.27042957,1.740959041,0,2.982317682,2.388311688,2.941058941,1.42957043,1.411588412,0,3.629370629,1.42957043,3.3,3.841158841,3.229470529,2.858841159,4,3.629370629,1.42957043,2.858841159,3.229470529,2.858841159,3.017682318,2.841158841,2.688311688,3.488211788,1.27042957,3.841158841,3.858841159,3.017682318,0,3.017682318,1.588411588,2.7,3.058941059,0,2.7,3.370629371,1.27042957,3.7,3.511788212
1.591408591,3.46953047,2.77992008,2.840859141,3.840859141,4,2.859140859,0,1.267732268,1.737262737,0,2.981718282,2.38961039,2.939060939,1.432267732,1.408591409,0,3.628671329,1.432267732,3.3,3.840859141,3.23046953,2.859140859,4,3.628671329,1.432267732,2.859140859,3.23046953,2.859140859,3.018281718,2.840859141,2.68961039,3.487812188,1.267732268,3.840859141,3.859140859,3.018281718,0,3.018281718,1.591408591,2.7,3.060939061,0,2.7,3.371328671,1.267732268,3.7,3.512187812
1.594405594,3.468531469,2.777622378,2.840559441,3.840559441,4,2.859440559,0,1.265034965,1.733566434,0,2.981118881,2.390909091,2.937062937,1.434965035,1.405594406,0,3.627972028,1.434965035,3.3,3.840559441,3.231468531,2.859440559,4,3.627972028,1.434965035,2.859440559,3.231468531,2.859440559,3.018881119,2.840559441,2.690909091,3.487412587,1.265034965,3.840559441,3.859440559,3.018881119,0,3.018881119,1.594405594,2.7,3.062937063,0,2.7,3.372027972,1.265034965,3.7,3.512587413
1.597402597,3.467532468,2.775324675,2.84025974,3.84025974,4,2.85974026,0,1.262337662,1.72987013,0,2.980519481,2.392207792,2.935064935,1.437662338,1.402597403,0,3.627272727,1.437662338,3.3,3.84025974,3.232467532,2.85974026,4,3.627272727,1.437662338,2.85974026,3.232467532,2.85974026,3.019480519,2.84025974,2.692207792,3.487012987,1.262337662,3.84025974,3.85974026,3.019480519,0,3.019480519,1.597402597,2.7,3.064935065,0,2.7,3.372727273,1.262337662,3.7,3.512987013
1.6003996,3.466533467,2.773026973,2.83996004,3.83996004,4,2.86003996,0,1.25964036,1.726173826,0,2.97992008,2.393506494,2.933066933,1.44035964,1.3996004,0,3.626573427,1.44035964,3.3,3.83996004,3.233466533,2.86003996,4,3.626573427,1.44035964,2.86003996,3.233466533,2.86003996,3.02007992,2.83996004,2.693506494,3.486613387,1.25964036,3.83996004,3.86003996,3.02007992,0,3.02007992,1.6003996,2.7,3.066933067,0,2.7,3.373426573,1.25964036,3.7,3.513386613
1.603396603,3.465534466,2.770729271,2.83966034,3.83966034,4,2.86033966,0,1.256943057,1.722477522,0,2.979320679,2.394805195,2.931068931,1.443056943,1.396603397,0,3.625874126,1.443056943,3.3,3.83966034,3.234465534,2.86033966,4,3.625874126,1.443056943,2.86033966,3.234465534,2.86033966,3.020679321,2.83966034,2.694805195,3.486213786,1.256943057,3.83966034,3.86033966,3.020679321,0,3.020679321,1.603396603,2.7,3.068931069,0,2.7,3.374125874,1.256943057,3.7,3.513786214
1.606393606,3.464535465,2.768431568,2.839360639,3.839360639,4,2.860639361,0,1.254245754,1.718781219,0,2.978721279,2.396103896,2.929070929,1.445754246,1.393606394,0,3.625174825,1.445754246,3.3,3.839360639,3.235464535,2.860639361,4,3.625174825,1.445754246,2.860639361,3.235464535,2.860639361,3.021278721,2.839360639,2.696103896,3.485814186,1.254245754,3.839360639,3.860639361,3.021278721,0,3.021278721,1.606393606,2.7,3.070929071,0,2.7,3.374825175,1.254245754,3.7,3.514185814
1.609390609,3.463536464,2.766133866,2.839060939,3.839060939,4,2.860939061,0,1.251548452,1.715084915,0,2.978121878,2.397402597,2.927072927,1.448451548,1.390609391,0,3.624475524,1.448451548,3.3,3.839060939,3.236463536,2.860939061,4,3.624475524,1.448451548,2.860939061,3.236463536,2.860939061,3.021878122,2.839060939,2.697402597,3.485414585,1.251548452,3.839060939,3.860939061,3.021878122,0,3.021878122,1.609390609,2.7,3.072927073,0,2.7,3.375524476,1.251548452,3.7,3.514585415
1.612387612,3.462537463,2.763836164,2.838761239,3.838761239,4,2.861238761,0,1.248851149,1.711388611,0,2.977522478,2.398701299,2.925074925,1.451148851,1.387612388,0,3.623776224,1.451148851,3.3,3.838761239,3.237462537,2.861238761,4,3.623776224,1.451148851,2.861238761,3.237462537,2.861238761,3.022477522,2.838761239,2.698701299,3.485014985,1.248851149,3.838761239,3.861238761,3.022477522,0,3.022477522,1.612387612,2.7,3.074925075,0,2.7,3.376223776,1.248851149,3.7,3.514985015
1.615384615,3.461538462,2.761538462,2.838461538,3.838461538,4,2.861538462,0,1.246153846,1.707692308,0,2.976923077,2.4,2.923076923,1.453846154,1.384615385,0,3.623076923,1.453846154,3.3,3.838461538,3.238461538,2.861538462,4,3.623076923,1.453846154,2.861538462,3.238461538,2.861538462,3.023076923,2.838461538,2.7,3.484615385,1.246153846,3.838461538,3.861538462,3.023076923,0,3.023076923,1.615384615,2.7,3.076923077,0,2.7,3.376923077,1.246153846,3.7,3.515384615
1.618381618,3.460539461,2.759240759,2.838161838,3.838161838,4,2.861838162,0,1.243456543,1.703996004,0,2.976323676,2.401298701,2.921078921,1.456543457,1.381618382,0,3.622377622,1.456543457,3.3,3.838161838,3.239460539,2.861838162,4,3.622377622,1.456543457,2.861838162,3.239460539,2.861838162,3.023676324,2.838161838,2.701298701,3.484215784,1.243456543,3.838161838,3.861838162,3.023676324,0,3.023676324,1.618381618,2.7,3.078921079,0,2.7,3.377622378,1.243456543,3.7,3.515784216
1.621378621,3.45954046,2.756943057,2.837862138,3.837862138,4,2.862137862,0,1.240759241,1.7002997,0,2.975724276,2.402597403,2.919080919,1.459240759,1.378621379,0,3.621678322,1.459240759,3.3,3.837862138,3.24045954,2.862137862,4,3.621678322,1.459240759,2.862137862,3.24045954,2.862137862,3.024275724,2.837862138,2.702597403,3.483816184,1.240759241,3.837862138,3.862137862,3.024275724,0,3.024275724,1.621378621,2.7,3.080919081,0,2.7,3.378321678,1.240759241,3.7,3.516183816
1.624375624,3.458541459,2.754645355,2.837562438,3.837562438,4,2.862437562,0,1.238061938,1.696603397,0,2.975124875,2.403896104,2.917082917,1.461938062,1.375624376,0,3.620979021,1.461938062,3.3,3.837562438,3.241458541,2.862437562,4,3.620979021,1.461938062,2.862437562,3.241458541,2.862437562,3.024875125,2.837562438,2.703896104,3.483416583,1.238061938,3.837562438,3.862437562,3.024875125,0,3.024875125,1.624375624,2.7,3.082917083,0,2.7,3.379020979,1.238061938,3.7,3.516583417
1.627372627,3.457542458,2.752347652,2.837262737,3.837262737,4,2.862737263,0,1.235364635,1.692907093,0,2.974525475,2.405194805,2.915084915,1.464635365,1.372627373,0,3.62027972,1.464635365,3.3,3.837262737,3.242457542,2.862737263,4,3.62027972,1.464635365,2.862737263,3.242457542,2.862737263,3.025474525,2.837262737,2.705194805,3.483016983,1.235364635,3.837262737,3.862737263,3.025474525,0,3.025474525,1.627372627,2.7,3.084915085,0,2.7,3.37972028,1.235364635,3.7,3.516983017
1.63036963,3.456543457,2.75004995,2.836963037,3.836963037,4,2.863036963,0,1.232667333,1.689210789,0,2.973926074,2.406493506,2.913086913,1.467332667,1.36963037,0,3.61958042,1.467332667,3.3,3.836963037,3.243456543,2.863036963,4,3.61958042,1.467332667,2.863036963,3.243456543,2.863036963,3.026073926,2.836963037,2.706493506,3.482617383,1.232667333,3.836963037,3.863036963,3.026073926,0,3.026073926,1.63036963,2.7,3.086913087,0,2.7,3.38041958,1.232667333,3.7,3.517382617
1.633366633,3.455544456,2.747752248,2.836663337,3.836663337,4,2.863336663,0,1.22997003,1.685514486,0,2.973326673,2.407792208,2.911088911,1.47002997,1.366633367,0,3.618881119,1.47002997,3.3,3.836663337,3.244455544,2.863336663,4,3.618881119,1.47002997,2.863336663,3.244455544,2.863336663,3.026673327,2.836663337,2.707792208,3.482217782,1.22997003,3.836663337,3.863336663,3.026673327,0,3.026673327,1.633366633,2.7,3.088911089,0,2.7,3.381118881,1.22997003,3.7,3.517782218
1.636363636,3.454545455,2.745454545,2.836363636,3.836363636,4,2.863636364,0,1.227272727,1.681818182,0,2.972727273,2.409090909,2.909090909,1.472727273,1.363636364,0,3.618181818,1.472727273,3.3,3.836363636,3.245454545,2.863636364,4,3.618181818,1.472727273,2.863636364,3.245454545,2.863636364,3.027272727,2.836363636,2.709090909,3.481818182,1.227272727,3.836363636,3.863636364,3.027272727,0,3.027272727,1.636363636,2.7,3.090909091,0,2.7,3.381818182,1.227272727,3.7,3.518181818
1.639360639,3.453546454,2.743156843,2.836063936,3.836063936,4,2.863936064,0,1.224575425,1.678121878,0,2.972127872,2.41038961,2.907092907,1.475424575,1.360639361,0,3.617482517,1.475424575,3.3,3.836063936,3.246453546,2.863936064,4,3.617482517,1.475424575,2.863936064,3.246453546,2.863936064,3.027872128,2.836063936,2.71038961,3.481418581,1.224575425,3.836063936,3.863936064,3.027872128,0,3.027872128,1.639360639,2.7,3.092907093,0,2.7,3.382517483,1.224575425,3.7,3.518581419
1.642357642,3.452547453,2.740859141,2.835764236,3.835764236,4,2.864235764,0,1.221878122,1.674425574,0,2.971528472,2.411688312,2.905094905,1.478121878,1.357642358,0,3.616783217,1.478121878,3.3,3.835764236,3.247452547,2.864235764,4,3.616783217,1.478121878,2.864235764,3.247452547,2.864235764,3.028471528,2.835764236,2.711688312,3.481018981,1.221878122,3.835764236,3.864235764,3.028471528,0,3.028471528,1.642357642,2.7,3.094905095,0,2.7,3.383216783,1.221878122,3.7,3.518981019
1.645354645,3.451548452,2.738561439,2.835464535,3.835464535,4,2.864535465,0,1.219180819,1.670729271,0,2.970929071,2.412987013,2.903096903,1.480819181,1.354645355,0,3.616083916,1.480819181,3.3,3.835464535,3.248451548,2.864535465,4,3.616083916,1.480819181,2.864535465,3.248451548,2.864535465,3.029070929,2.835464535,2.712987013,3.480619381,1.219180819,3.835464535,3.864535465,3.029070929,0,3.029070929,1.645354645,2.7,3.096903097,0,2.7,3.383916084,1.219180819,3.7,3.519380619
1.648351648,3.450549451,2.736263736,2.835164835,3.835164835,4,2.864835165,0,1.216483516,1.667032967,0,2.97032967,2.414285714,2.901098901,1.483516484,1.351648352,0,3.615384615,1.483516484,3.3,3.835164835,3.249450549,2.864835165,4,3.615384615,1.483516484,2.864835165,3.249450549,2.864835165,3.02967033,2.835164835,2.714285714,3.48021978,1.216483516,3.835164835,3.864835165,3.02967033,0,3.02967033,1.648351648,2.7,3.098901099,0,2.7,3.384615385,1.216483516,3.7,3.51978022
1.651348651,3.44955045,2.733966034,2.834865135,3.834865135,4,2.865134865,0,1.213786214,1.663336663,0,2.96973027,2.415584416,2.899100899,1.486213786,1.348651349,0,3.614685315,1.486213786,3.3,3.834865135,3.25044955,2.865134865,4,3.614685315,1.486213786,2.865134865,3.25044955,2.865134865,3.03026973,2.834865135,2.715584416,3.47982018,1.213786214,3.834865135,3.865134865,3.03026973,0,3.03026973,1.651348651,2.7,3.100899101,0,2.7,3.385314685,1.213786214,3.7,3.52017982
1.654345654,3.448551449,2.731668332,2.834565435,3.834565435,4,2.865434565,0,1.211088911,1.65964036,0,2.969130869,2.416883117,2.897102897,1.488911089,1.345654346,0,3.613986014,1.488911089,3.3,3.834565435,3.251448551,2.865434565,4,3.613986014,1.488911089,2.865434565,3.251448551,2.865434565,3.030869131,2.834565435,2.716883117,3.479420579,1.211088911,3.834565435,3.865434565,3.030869131,0,3.030869131,1.654345654,2.7,3.102897103,0,2.7,3.386013986,1.211088911,3.7,3.520579421
1.657342657,3.447552448,2.729370629,2.834265734,3.834265734,4,2.865734266,0,1.208391608,1.655944056,0,2.968531469,2.418181818,2.895104895,1.491608392,1.342657343,0,3.613286713,1.491608392,3.3,3.834265734,3.252447552,2.865734266,4,3.613286713,1.491608392,2.865734266,3.252447552,2.865734266,3.031468531,2.834265734,2.718181818,3.479020979,1.208391608,3.834265734,3.865734266,3.031468531,0,3.031468531,1.657342657,2.7,3.104895105,0,2.7,3.386713287,1.208391608,3.7,3.520979021
1.66033966,3.446553447,2.727072927,2.833966034,3.833966034,4,2.866033966,0,1.205694306,1.652247752,0,2.967932068,2.419480519,2.893106893,1.494305694,1.33966034,0,3.612587413,1.494305694,3.3,3.833966034,3.253446553,2.866033966,4,3.612587413,1.494305694,2.866033966,3.253446553,2.866033966,3.032067932,2.833966034,2.719480519,3.478621379,1.205694306,3.833966034,3.866033966,3.032067932,0,3.032067932,1.66033966,2.7,3.106893107,0,2.7,3.387412587,1.205694306,3.7,3.521378621
1.663336663,3.445554446,2.724775225,2.833666334,3.833666334,4,2.866333666,0,1.202997003,1.648551449,0,2.967332667,2.420779221,2.891108891,1.497002997,1.336663337,0,3.611888112,1.497002997,3.3,3.833666334,3.254445554,2.866333666,4,3.611888112,1.497002997,2.866333666,3.254445554,2.866333666,3.032667333,2.833666334,2.720779221,3.478221778,1.202997003,3.833666334,3.866333666,3.032667333,0,3.032667333,1.663336663,2.7,3.108891109,0,2.7,3.388111888,1.202997003,3.7,3.521778222
1.666333666,3.444555445,2.722477522,2.833366633,3.833366633,4,2.866633367,0,1.2002997,1.644855145,0,2.966733267,2.422077922,2.889110889,1.4997003,1.333666334,0,3.611188811,1.4997003,3.3,3.833366633,3.255444555,2.866633367,4,3.611188811,1.4997003,2.866633367,3.255444555,2.866633367,3.033266733,2.833366633,2.722077922,3.477822178,1.2002997,3.833366633,3.866633367,3.033266733,0,3.033266733,1.666333666,2.7,3.110889111,0,2.7,3.388811189,1.2002997,3.7,3.522177822
1.669330669,3.443556444,2.72017982,2.833066933,3.833066933,4,2.866933067,0,1.197602398,1.641158841,0,2.966133866,2.423376623,2.887112887,1.502397602,1.330669331,0,3.61048951,1.502397602,3.3,3.833066933,3.256443556,2.866933067,4,3.61048951,1.502397602,2.866933067,3.256443556,2.866933067,3.033866134,2.833066933,2.723376623,3.477422577,1.197602398,3.833066933,3.866933067,3.033866134,0,3.033866134,1.669330669,2.7,3.112887113,0,2.7,3.38951049,1.197602398,3.7,3.522577423
1.672327672,3.442557443,2.717882118,2.832767233,3.832767233,4,2.867232767,0,1.194905095,1.637462537,0,2.965534466,2.424675325,2.885114885,1.505094905,1.327672328,0,3.60979021,1.505094905,3.3,3.832767233,3.257442557,2.867232767,4,3.60979021,1.505094905,2.867232767,3.257442557,2.867232767,3.034465534,2.832767233,2.724675325,3.477022977,1.194905095,3.832767233,3.867232767,3.034465534,0,3.034465534,1.672327672,2.7,3.114885115,0,2.7,3.39020979,1.194905095,3.7,3.522977023
1.675324675,3.441558442,2.715584416,2.832467532,3.832467532,4,2.867532468,0,1.192207792,1.633766234,0,2.964935065,2.425974026,2.883116883,1.507792208,1.324675325,0,3.609090909,1.507792208,3.3,3.832467532,3.258441558,2.867532468,4,3.609090909,1.507792208,2.867532468,3.258441558,2.867532468,3.035064935,2.832467532,2.725974026,3.476623377,1.192207792,3.832467532,3.867532468,3.035064935,0,3.035064935,1.675324675,2.7,3.116883117,0,2.7,3.390909091,1.192207792,3.7,3.523376623
1.678321678,3.440559441,2.713286713,2.832167832,3.832167832,4,2.867832168,0,1.18951049,1.63006993,0,2.964335664,2.427272727,2.881118881,1.51048951,1.321678322,0,3.608391608,1.51048951,3.3,3.832167832,3.259440559,2.867832168,4,3.608391608,1.51048951,2.867832168,3.259440559,2.867832168,3.035664336,2.832167832,2.727272727,3.476223776,1.18951049,3.832167832,3.867832168,3.035664336,0,3.035664336,1.678321678,2.7,3.118881119,0,2.7,3.391608392,1.18951049,3.7,3.523776224
1.681318681,3.43956044,2.710989011,2.831868132,3.831868132,4,2.868131868,0,1.186813187,1.626373626,0,2.963736264,2.428571429,2.879120879,1.513186813,1.318681319,0,3.607692308,1.513186813,3.3,3.831868132,3.26043956,2.868131868,4,3.607692308,1.513186813,2.868131868,3.26043956,2.868131868,3.036263736,2.831868132,2.728571429,3.475824176,1.186813187,3.831868132,3.868131868,3.036263736,0,3.036263736,1.681318681,2.7,3.120879121,0,2.7,3.392307692,1.186813187,3.7,3.524175824
1.684315684,3.438561439,2.708691309,2.831568432,3.831568432,4,2.868431568,0,1.184115884,1.622677323,0,2.963136863,2.42987013,2.877122877,1.515884116,1.315684316,0,3.606993007,1.515884116,3.3,3.831568432,3.261438561,2.868431568,4,3.606993007,1.515884116,2.868431568,3.261438561,2.868431568,3.036863137,2.831568432,2.72987013,3.475424575,1.184115884,3.831568432,3.868431568,3.036863137,0,3.036863137,1.684315684,2.7,3.122877123,0,2.7,3.393006993,1.184115884,3.7,3.524575425
1.687312687,3.437562438,2.706393606,2.831268731,3.831268731,4,2.868731269,0,1.181418581,1.618981019,0,2.962537463,2.431168831,2.875124875,1.518581419,1.312687313,0,3.606293706,1.518581419,3.3,3.831268731,3.262437562,2.868731269,4,3.606293706,1.518581419,2.868731269,3.262437562,2.868731269,3.037462537,2.831268731,2.731168831,3.475024975,1.181418581,3.831268731,3.868731269,3.037462537,0,3.037462537,1.687312687,2.7,3.124875125,0,2.7,3.393706294,1.181418581,3.7,3.524975025
1.69030969,3.436563437,2.704095904,2.830969031,3.830969031,4,2.869030969,0,1.178721279,1.615284715,0,2.961938062,2.432467532,2.873126873,1.521278721,1.30969031,0,3.605594406,1.521278721,3.3,3.830969031,3.263436563,2.869030969,4,3.605594406,1.521278721,2.869030969,3.263436563,2.869030969,3.038061938,2.830969031,2.732467532,3.474625375,1.178721279,3.830969031,3.869030969,3.038061938,0,3.038061938,1.69030969,2.7,3.126873127,0,2.7,3.394405594,1.178721279,3.7,3.525374625
1.693306693,3.435564436,2.701798202,2.830669331,3.830669331,4,2.869330669,0,1.176023976,1.611588412,0,2.961338661,2.433766234,2.871128871,1.523976024,1.306693307,0,3.604895105,1.523976024,3.3,3.830669331,3.264435564,2.869330669,4,3.604895105,1.523976024,2.869330669,3.264435564,2.869330669,3.038661339,2.830669331,2.733766234,3.474225774,1.176023976,3.830669331,3.869330669,3.038661339,0,3.038661339,1.693306693,2.7,3.128871129,0,2.7,3.395104895,1.176023976,3.7,3.525774226
1.696303696,3.434565435,2.6995005,2.83036963,3.83036963,4,2.86963037,0,1.173326673,1.607892108,0,2.960739261,2.435064935,2.869130869,1.526673327,1.303696304,0,3.604195804,1.526673327,3.3,3.83036963,3.265434565,2.86963037,4,3.604195804,1.526673327,2.86963037,3.265434565,2.86963037,3.039260739,2.83036963,2.735064935,3.473826174,1.173326673,3.83036963,3.86963037,3.039260739,0,3.039260739,1.696303696,2.7,3.130869131,0,2.7,3.395804196,1.173326673,3.7,3.526173826
1.699300699,3.433566434,2.697202797,2.83006993,3.83006993,4,2.86993007,0,1.170629371,1.604195804,0,2.96013986,2.436363636,2.867132867,1.529370629,1.300699301,0,3.603496503,1.529370629,3.3,3.83006993,3.266433566,2.86993007,4,3.603496503,1.529370629,2.86993007,3.266433566,2.86993007,3.03986014,2.83006993,2.736363636,3.473426573,1.170629371,3.83006993,3.86993007,3.03986014,0,3.03986014,1.699300699,2.7,3.132867133,0,2.7,3.396503497,1.170629371,3.7,3.526573427
1.702297702,3.432567433,2.694905095,2.82977023,3.82977023,4,2.87022977,0,1.167932068,1.6004995,0,2.95954046,2.437662338,2.865134865,1.532067932,1.297702298,0,3.602797203,1.532067932,3.3,3.82977023,3.267432567,2.87022977,4,3.602797203,1.532067932,2.87022977,3.267432567,2.87022977,3.04045954,2.82977023,2.737662338,3.473026973,1.167932068,3.82977023,3.87022977,3.04045954,0,3.04045954,1.702297702,2.7,3.134865135,0,2.7,3.397202797,1.167932068,3.7,3.526973027
1.705294705,3.431568432,2.692607393,2.829470529,3.829470529,4,2.870529471,0,1.165234765,1.596803197,0,2.958941059,2.438961039,2.863136863,1.534765235,1.294705295,0,3.602097902,1.534765235,3.3,3.829470529,3.268431568,2.870529471,4,3.602097902,1.534765235,2.870529471,3.268431568,2.870529471,3.041058941,2.829470529,2.738961039,3.472627373,1.165234765,3.829470529,3.870529471,3.041058941,0,3.041058941,1.705294705,2.7,3.136863137,0,2.7,3.397902098,1.165234765,3.7,3.527372627
1.708291708,3.430569431,2.69030969,2.829170829,3.829170829,4,2.870829171,0,1.162537463,1.593106893,0,2.958341658,2.44025974,2.861138861,1.537462537,1.291708292,0,3.601398601,1.537462537,3.3,3.829170829,3.269430569,2.870829171,4,3.601398601,1.537462537,2.870829171,3.269430569,2.870829171,3.041658342,2.829170829,2.74025974,3.472227772,1.162537463,3.829170829,3.870829171,3.041658342,0,3.041658342,1.708291708,2.7,3.138861139,0,2.7,3.398601399,1.162537463,3.7,3.527772228
